UDP Server running on port 12001 (max 200 bytes)
CSV initialized (truncated) at: logs/iot_device_data.csv
Metrics CSV initialized (truncated) at: logs/metrics.csv
Reordered CSV initialized: logs/iot_device_data_reordered.csv
NACK Scheduler Thread started.
 [!] Gap Detected! ID:4, Missing packets: 1
 -> DATA received (ID:7, seq=8)
 Data saved (ID:4, seq=8)
 -> DATA received (ID:4, seq=8)
 Data saved (ID:4, seq=9)
 -> DATA received (ID:4, seq=9)
 Data saved (ID:1, seq=9)
 -> DATA received (ID:1, seq=9)
 Data saved (ID:7, seq=9)
 -> DATA received (ID:7, seq=9)
 Data saved (ID:1, seq=10)
 -> DATA received (ID:1, seq=10)
 Data saved (ID:4, seq=10)
 -> DATA received (ID:4, seq=10)
 Data saved (ID:7, seq=10)
 -> DATA received (ID:7, seq=10)
 Data saved (ID:4, seq=11)
 -> DATA received (ID:4, seq=11)
 Data saved (ID:7, seq=11)
 -> DATA received (ID:7, seq=11)
 Data saved (ID:1, seq=11)
 -> DATA received (ID:1, seq=11)
Heartbeat Received
 -> HEARTBEAT from Device 4
 Data saved (ID:4, seq=0)
 Data saved (ID:7, seq=12)
 -> DATA received (ID:7, seq=12)
Heartbeat Received
 -> HEARTBEAT from Device 1
 Data saved (ID:1, seq=0)
Heartbeat Received
 -> HEARTBEAT from Device 7
 Data saved (ID:7, seq=0)
 Data saved (ID:4, seq=12)
 -> DATA received (ID:4, seq=12)
 Data saved (ID:1, seq=12)
 -> DATA received (ID:1, seq=12)
 Data saved (ID:4, seq=13)
 -> DATA received (ID:4, seq=13)
 Data saved (ID:1, seq=13)
 -> DATA received (ID:1, seq=13)
 Data saved (ID:7, seq=13)
 -> DATA received (ID:7, seq=13)
 Data saved (ID:1, seq=14)
 -> DATA received (ID:1, seq=14)
 Data saved (ID:7, seq=14)
 -> DATA received (ID:7, seq=14)
 Data saved (ID:4, seq=14)
 -> DATA received (ID:4, seq=14)
 Data saved (ID:4, seq=15)
 -> DATA received (ID:4, seq=15)
 Data saved (ID:1, seq=15)
 -> DATA received (ID:1, seq=15)
 Data saved (ID:7, seq=15)
 -> DATA received (ID:7, seq=15)
 Data saved (ID:1, seq=16)
 -> DATA received (ID:1, seq=16)
 Data saved (ID:7, seq=16)
 -> DATA received (ID:7, seq=16)
 Data saved (ID:4, seq=16)
 -> DATA received (ID:4, seq=16)
 Data saved (ID:4, seq=17)
 -> DATA received (ID:4, seq=17)
 Data saved (ID:7, seq=17)
 -> DATA received (ID:7, seq=17)
 Data saved (ID:1, seq=17)
 -> DATA received (ID:1, seq=17)
 Data saved (ID:7, seq=18)
 -> DATA received (ID:7, seq=18)
 Data saved (ID:1, seq=18)
 -> DATA received (ID:1, seq=18)
 Data saved (ID:4, seq=18)
 -> DATA received (ID:4, seq=18)
 Data saved (ID:1, seq=19)
 -> DATA received (ID:1, seq=19)
 Data saved (ID:4, seq=19)
 -> DATA received (ID:4, seq=19)
 Data saved (ID:7, seq=19)
 -> DATA received (ID:7, seq=19)
 Data saved (ID:7, seq=20)
 -> DATA received (ID:7, seq=20)
 Data saved (ID:1, seq=20)
 -> DATA received (ID:1, seq=20)
 Data saved (ID:4, seq=20)
 -> DATA received (ID:4, seq=20)
 Data saved (ID:7, seq=21)
 -> DATA received (ID:7, seq=21)
 Data saved (ID:1, seq=21)
 -> DATA received (ID:1, seq=21)
 Data saved (ID:4, seq=21)
 -> DATA received (ID:4, seq=21)
Heartbeat Received
 -> HEARTBEAT from Device 7
 Data saved (ID:7, seq=0)
 Data saved (ID:4, seq=22)
 -> DATA received (ID:4, seq=22)
Heartbeat Received
 -> HEARTBEAT from Device 4
 Data saved (ID:4, seq=0)
 Data saved (ID:7, seq=22)
 -> DATA received (ID:7, seq=22)
Heartbeat Received
 -> HEARTBEAT from Device 1
 Data saved (ID:1, seq=0)
 Data saved (ID:1, seq=22)
 -> DATA received (ID:1, seq=22)
 Data saved (ID:7, seq=23)
 -> DATA received (ID:7, seq=23)
 Data saved (ID:1, seq=23)
 -> DATA received (ID:1, seq=23)
 Data saved (ID:4, seq=23)
 -> DATA received (ID:4, seq=23)
 Data saved (ID:7, seq=24)
 -> DATA received (ID:7, seq=24)
 Data saved (ID:1, seq=24)
 -> DATA received (ID:1, seq=24)
 Data saved (ID:4, seq=24)
 -> DATA received (ID:4, seq=24)
 Data saved (ID:4, seq=25)
 -> DATA received (ID:4, seq=25)
 Data saved (ID:7, seq=25)
 -> DATA received (ID:7, seq=25)
 Data saved (ID:1, seq=25)
 -> DATA received (ID:1, seq=25)
 Data saved (ID:1, seq=26)
 -> DATA received (ID:1, seq=26)
 Data saved (ID:7, seq=26)
 -> DATA received (ID:7, seq=26)
 Data saved (ID:4, seq=26)
 -> DATA received (ID:4, seq=26)
 Data saved (ID:4, seq=27)
 -> DATA received (ID:4, seq=27)
 Data saved (ID:7, seq=27)
 -> DATA received (ID:7, seq=27)
 Data saved (ID:1, seq=27)
 -> DATA received (ID:1, seq=27)
 Data saved (ID:1, seq=28)
 -> DATA received (ID:1, seq=28)
 Data saved (ID:4, seq=28)
 -> DATA received (ID:4, seq=28)
 Data saved (ID:7, seq=28)
 -> DATA received (ID:7, seq=28)
 Data saved (ID:1, seq=29)
 -> DATA received (ID:1, seq=29)
 Data saved (ID:4, seq=29)
 -> DATA received (ID:4, seq=29)
 Data saved (ID:7, seq=29)
 -> DATA received (ID:7, seq=29)
 Data saved (ID:4, seq=30)
 -> DATA received (ID:4, seq=30)
 Data saved (ID:7, seq=30)
 -> DATA received (ID:7, seq=30)
 Data saved (ID:1, seq=30)
 -> DATA received (ID:1, seq=30)
 Data saved (ID:7, seq=31)
 -> DATA received (ID:7, seq=31)
 Data saved (ID:1, seq=31)
 -> DATA received (ID:1, seq=31)
 Data saved (ID:4, seq=31)
 -> DATA received (ID:4, seq=31)
Heartbeat Received
 -> HEARTBEAT from Device 4
 Data saved (ID:4, seq=0)
Heartbeat Received
 -> HEARTBEAT from Device 7
 Data saved (ID:7, seq=0)
Heartbeat Received
 -> HEARTBEAT from Device 1
 Data saved (ID:1, seq=0)
 Data saved (ID:7, seq=32)
 -> DATA received (ID:7, seq=32)
 Data saved (ID:1, seq=32)
 -> DATA received (ID:1, seq=32)
 Data saved (ID:4, seq=32)
 -> DATA received (ID:4, seq=32)
 Data saved (ID:4, seq=33)
 -> DATA received (ID:4, seq=33)
 Data saved (ID:7, seq=33)
 -> DATA received (ID:7, seq=33)
 Data saved (ID:1, seq=33)
 -> DATA received (ID:1, seq=33)
 Data saved (ID:4, seq=34)
 -> DATA received (ID:4, seq=34)
 Data saved (ID:1, seq=34)
 -> DATA received (ID:1, seq=34)
 Data saved (ID:7, seq=34)
 -> DATA received (ID:7, seq=34)
 Data saved (ID:7, seq=35)
 -> DATA received (ID:7, seq=35)
 Data saved (ID:1, seq=35)
 -> DATA received (ID:1, seq=35)
 Data saved (ID:4, seq=35)
 -> DATA received (ID:4, seq=35)
 Data saved (ID:7, seq=36)
 -> DATA received (ID:7, seq=36)
 Data saved (ID:1, seq=36)
 -> DATA received (ID:1, seq=36)
 Data saved (ID:4, seq=36)
 -> DATA received (ID:4, seq=36)
 Data saved (ID:7, seq=37)
 -> DATA received (ID:7, seq=37)
 Data saved (ID:1, seq=37)
 -> DATA received (ID:1, seq=37)
 Data saved (ID:4, seq=37)
 -> DATA received (ID:4, seq=37)
 Data saved (ID:1, seq=38)
 -> DATA received (ID:1, seq=38)
 Data saved (ID:4, seq=38)
 -> DATA received (ID:4, seq=38)
 Data saved (ID:7, seq=38)
 -> DATA received (ID:7, seq=38)
 Data saved (ID:7, seq=39)
 -> DATA received (ID:7, seq=39)
 Data saved (ID:1, seq=39)
 -> DATA received (ID:1, seq=39)
 Data saved (ID:4, seq=39)
 -> DATA received (ID:4, seq=39)
 Data saved (ID:7, seq=40)
 -> DATA received (ID:7, seq=40)
 Data saved (ID:4, seq=40)
 -> DATA received (ID:4, seq=40)
 Data saved (ID:1, seq=40)
 -> DATA received (ID:1, seq=40)
 Data saved (ID:7, seq=41)
 -> DATA received (ID:7, seq=41)
 Data saved (ID:1, seq=41)
 -> DATA received (ID:1, seq=41)
 Data saved (ID:4, seq=41)
 -> DATA received (ID:4, seq=41)
Heartbeat Received
 -> HEARTBEAT from Device 1
 Data saved (ID:1, seq=0)
Heartbeat Received
 -> HEARTBEAT from Device 4
 Data saved (ID:4, seq=0)
Heartbeat Received
 -> HEARTBEAT from Device 7
 Data saved (ID:7, seq=0)
 Data saved (ID:1, seq=42)
 -> DATA received (ID:1, seq=42)
 Data saved (ID:4, seq=42)
 -> DATA received (ID:4, seq=42)
 Data saved (ID:7, seq=42)
 -> DATA received (ID:7, seq=42)
 Data saved (ID:1, seq=43)
 -> DATA received (ID:1, seq=43)
 Data saved (ID:7, seq=43)
 -> DATA received (ID:7, seq=43)
 Data saved (ID:4, seq=43)
 -> DATA received (ID:4, seq=43)
 Data saved (ID:4, seq=44)
 -> DATA received (ID:4, seq=44)
 Data saved (ID:7, seq=44)
 -> DATA received (ID:7, seq=44)
 Data saved (ID:1, seq=44)
 -> DATA received (ID:1, seq=44)
 Data saved (ID:1, seq=45)
 -> DATA received (ID:1, seq=45)
 Data saved (ID:7, seq=45)
 -> DATA received (ID:7, seq=45)
 Data saved (ID:4, seq=45)
 -> DATA received (ID:4, seq=45)
 Data saved (ID:7, seq=46)
 -> DATA received (ID:7, seq=46)
 Data saved (ID:1, seq=46)
 -> DATA received (ID:1, seq=46)
 Data saved (ID:4, seq=46)
 -> DATA received (ID:4, seq=46)
 Data saved (ID:7, seq=47)
 -> DATA received (ID:7, seq=47)
 Data saved (ID:1, seq=47)
 -> DATA received (ID:1, seq=47)
 Data saved (ID:4, seq=47)
 -> DATA received (ID:4, seq=47)
 Data saved (ID:7, seq=48)
 -> DATA received (ID:7, seq=48)
 Data saved (ID:1, seq=48)
 -> DATA received (ID:1, seq=48)
 Data saved (ID:4, seq=48)
 -> DATA received (ID:4, seq=48)
 Data saved (ID:1, seq=49)
 -> DATA received (ID:1, seq=49)
 Data saved (ID:7, seq=49)
 -> DATA received (ID:7, seq=49)
 Data saved (ID:4, seq=49)
 -> DATA received (ID:4, seq=49)
 Data saved (ID:1, seq=50)
 -> DATA received (ID:1, seq=50)
 Data saved (ID:7, seq=50)
 -> DATA received (ID:7, seq=50)
 Data saved (ID:4, seq=50)
 -> DATA received (ID:4, seq=50)
 Data saved (ID:4, seq=51)
 -> DATA received (ID:4, seq=51)
 Data saved (ID:7, seq=51)
 -> DATA received (ID:7, seq=51)
 Data saved (ID:1, seq=51)
 -> DATA received (ID:1, seq=51)
Heartbeat Received
 -> HEARTBEAT from Device 7
 Data saved (ID:7, seq=0)
Heartbeat Received
 -> HEARTBEAT from Device 4
 Data saved (ID:4, seq=0)
Heartbeat Received
 -> HEARTBEAT from Device 1
 Data saved (ID:1, seq=0)
 Data saved (ID:4, seq=52)
 -> DATA received (ID:4, seq=52)
 Data saved (ID:1, seq=52)
 -> DATA received (ID:1, seq=52)
 Data saved (ID:7, seq=52)
 -> DATA received (ID:7, seq=52)
 Data saved (ID:4, seq=53)
 -> DATA received (ID:4, seq=53)
 Data saved (ID:7, seq=53)
 -> DATA received (ID:7, seq=53)
 Data saved (ID:1, seq=53)
 -> DATA received (ID:1, seq=53)
 Data saved (ID:7, seq=54)
 -> DATA received (ID:7, seq=54)
 Data saved (ID:4, seq=54)
 -> DATA received (ID:4, seq=54)
 Data saved (ID:1, seq=54)
 -> DATA received (ID:1, seq=54)
 Data saved (ID:1, seq=55)
 -> DATA received (ID:1, seq=55)
 Data saved (ID:7, seq=55)
 -> DATA received (ID:7, seq=55)
 Data saved (ID:4, seq=55)
 -> DATA received (ID:4, seq=55)
 Data saved (ID:1, seq=56)
 -> DATA received (ID:1, seq=56)
 Data saved (ID:4, seq=56)
 -> DATA received (ID:4, seq=56)
 Data saved (ID:7, seq=56)
 -> DATA received (ID:7, seq=56)
 Data saved (ID:1, seq=57)
 -> DATA received (ID:1, seq=57)
 Data saved (ID:7, seq=57)
 -> DATA received (ID:7, seq=57)
 Data saved (ID:4, seq=57)
 -> DATA received (ID:4, seq=57)
 Data saved (ID:4, seq=58)
 -> DATA received (ID:4, seq=58)
 Data saved (ID:7, seq=58)
 -> DATA received (ID:7, seq=58)
 Data saved (ID:1, seq=58)
 -> DATA received (ID:1, seq=58)
 Data saved (ID:7, seq=59)
 -> DATA received (ID:7, seq=59)
 Data saved (ID:1, seq=59)
 -> DATA received (ID:1, seq=59)
 Data saved (ID:4, seq=59)
 -> DATA received (ID:4, seq=59)
 Data saved (ID:7, seq=60)
 -> DATA received (ID:7, seq=60)
 Data saved (ID:1, seq=60)
 -> DATA received (ID:1, seq=60)
 Data saved (ID:4, seq=60)
 -> DATA received (ID:4, seq=60)
 Data saved (ID:7, seq=61)
 -> DATA received (ID:7, seq=61)
 Data saved (ID:1, seq=61)
 -> DATA received (ID:1, seq=61)
 Data saved (ID:4, seq=61)
 -> DATA received (ID:4, seq=61)
Heartbeat Received
 -> HEARTBEAT from Device 4
 Data saved (ID:4, seq=0)
Heartbeat Received
 -> HEARTBEAT from Device 7
 Data saved (ID:7, seq=0)
Heartbeat Received
 -> HEARTBEAT from Device 1
 Data saved (ID:1, seq=0)
 Data saved (ID:1, seq=62)
 -> DATA received (ID:1, seq=62)
 Data saved (ID:7, seq=62)
 -> DATA received (ID:7, seq=62)
 Data saved (ID:4, seq=62)
 -> DATA received (ID:4, seq=62)
 Data saved (ID:1, seq=63)
 -> DATA received (ID:1, seq=63)
 Data saved (ID:7, seq=63)
 -> DATA received (ID:7, seq=63)
 Data saved (ID:4, seq=63)
 -> DATA received (ID:4, seq=63)
Heartbeat Received
 -> HEARTBEAT from Device 1
 Data saved (ID:1, seq=0)
Heartbeat Received
 -> HEARTBEAT from Device 7
 Data saved (ID:7, seq=0)
Heartbeat Received
 -> HEARTBEAT from Device 4
 Data saved (ID:4, seq=0)
 Data saved (ID:7, seq=64)
 -> DATA received (ID:7, seq=64)
 Data saved (ID:1, seq=64)
 -> DATA received (ID:1, seq=64)
 Data saved (ID:4, seq=64)
 -> DATA received (ID:4, seq=64)
 Data saved (ID:7, seq=65)
 -> DATA received (ID:7, seq=65)
 Data saved (ID:4, seq=65)
 -> DATA received (ID:4, seq=65)
 Data saved (ID:1, seq=65)
 -> DATA received (ID:1, seq=65)
Heartbeat Received
 -> HEARTBEAT from Device 4
 Data saved (ID:4, seq=0)
Heartbeat Received
 -> HEARTBEAT from Device 1
 Data saved (ID:1, seq=0)
Heartbeat Received
 -> HEARTBEAT from Device 7
 Data saved (ID:7, seq=0)
 Data saved (ID:7, seq=66)
 -> DATA received (ID:7, seq=66)
 Data saved (ID:4, seq=66)
 -> DATA received (ID:4, seq=66)
 Data saved (ID:1, seq=66)
 -> DATA received (ID:1, seq=66)
 Data saved (ID:1, seq=67)
 -> DATA received (ID:1, seq=67)
 Data saved (ID:4, seq=67)
 -> DATA received (ID:4, seq=67)
 Data saved (ID:7, seq=67)
 -> DATA received (ID:7, seq=67)
Heartbeat Received
 -> HEARTBEAT from Device 4
 Data saved (ID:4, seq=0)
Heartbeat Received
 -> HEARTBEAT from Device 7
 Data saved (ID:7, seq=0)
Heartbeat Received
 -> HEARTBEAT from Device 1
 Data saved (ID:1, seq=0)
 Data saved (ID:1, seq=68)
 -> DATA received (ID:1, seq=68)
 Data saved (ID:7, seq=68)
 -> DATA received (ID:7, seq=68)
 Data saved (ID:4, seq=68)
 -> DATA received (ID:4, seq=68)
 Data saved (ID:4, seq=69)
 -> DATA received (ID:4, seq=69)
 Data saved (ID:7, seq=69)
 -> DATA received (ID:7, seq=69)
 Data saved (ID:1, seq=69)
 -> DATA received (ID:1, seq=69)
Heartbeat Received
 -> HEARTBEAT from Device 7
 Data saved (ID:7, seq=0)
Heartbeat Received
 -> HEARTBEAT from Device 4
 Data saved (ID:4, seq=0)
Heartbeat Received
 -> HEARTBEAT from Device 1
 Data saved (ID:1, seq=0)
 Data saved (ID:1, seq=70)
 -> DATA received (ID:1, seq=70)
 Data saved (ID:4, seq=70)
 -> DATA received (ID:4, seq=70)
 Data saved (ID:7, seq=70)
 -> DATA received (ID:7, seq=70)
 Data saved (ID:7, seq=71)
 -> DATA received (ID:7, seq=71)
 Data saved (ID:1, seq=71)
 -> DATA received (ID:1, seq=71)
 Data saved (ID:4, seq=71)
 -> DATA received (ID:4, seq=71)
Heartbeat Received
 -> HEARTBEAT from Device 1
 Data saved (ID:1, seq=0)
Heartbeat Received
 -> HEARTBEAT from Device 4
 Data saved (ID:4, seq=0)
Heartbeat Received
 -> HEARTBEAT from Device 7
 Data saved (ID:7, seq=0)
 Data saved (ID:7, seq=72)
 -> DATA received (ID:7, seq=72)
 Data saved (ID:1, seq=72)
 -> DATA received (ID:1, seq=72)
 Data saved (ID:4, seq=72)
 -> DATA received (ID:4, seq=72)
 Data saved (ID:7, seq=73)
 -> DATA received (ID:7, seq=73)
 Data saved (ID:1, seq=73)
 -> DATA received (ID:1, seq=73)
 Data saved (ID:4, seq=73)
 -> DATA received (ID:4, seq=73)
Heartbeat Received
 -> HEARTBEAT from Device 1
 Data saved (ID:1, seq=0)
Heartbeat Received
 -> HEARTBEAT from Device 7
 Data saved (ID:7, seq=0)
Heartbeat Received
 -> HEARTBEAT from Device 4
 Data saved (ID:4, seq=0)
 Data saved (ID:1, seq=74)
 -> DATA received (ID:1, seq=74)
 Data saved (ID:7, seq=74)
 -> DATA received (ID:7, seq=74)
 Data saved (ID:4, seq=74)
 -> DATA received (ID:4, seq=74)
Heartbeat Received
 -> HEARTBEAT from Device 1
 Data saved (ID:1, seq=0)
Heartbeat Received
 -> HEARTBEAT from Device 7
 Data saved (ID:7, seq=0)
Heartbeat Received
 -> HEARTBEAT from Device 4
 Data saved (ID:4, seq=0)
Heartbeat Received
 -> HEARTBEAT from Device 7
 Data saved (ID:7, seq=0)
Heartbeat Received
 -> HEARTBEAT from Device 4
 Data saved (ID:4, seq=0)
Heartbeat Received
 -> HEARTBEAT from Device 1
 Data saved (ID:1, seq=0)
Heartbeat Received
 -> HEARTBEAT from Device 7
 Data saved (ID:7, seq=0)
Heartbeat Received
 -> HEARTBEAT from Device 4
 Data saved (ID:4, seq=0)
Heartbeat Received
 -> HEARTBEAT from Device 1
 Data saved (ID:1, seq=0)
 Data saved (ID:1, seq=75)
 -> DATA received (ID:1, seq=75)
 Data saved (ID:7, seq=75)
 -> DATA received (ID:7, seq=75)
 Data saved (ID:4, seq=75)
 -> DATA received (ID:4, seq=75)
Heartbeat Received
 -> HEARTBEAT from Device 4
 Data saved (ID:4, seq=0)
Heartbeat Received
 -> HEARTBEAT from Device 1
 Data saved (ID:1, seq=0)
Heartbeat Received
 -> HEARTBEAT from Device 7
 Data saved (ID:7, seq=0)
Heartbeat Received
 -> HEARTBEAT from Device 4
 Data saved (ID:4, seq=0)
Heartbeat Received
 -> HEARTBEAT from Device 1
 Data saved (ID:1, seq=0)
Heartbeat Received
 -> HEARTBEAT from Device 7
 Data saved (ID:7, seq=0)
Heartbeat Received
 -> HEARTBEAT from Device 4
 Data saved (ID:4, seq=0)
Heartbeat Received
 -> HEARTBEAT from Device 7
 Data saved (ID:7, seq=0)
Heartbeat Received
 -> HEARTBEAT from Device 1
 Data saved (ID:1, seq=0)

[Shutdown] Signal 15 received — flushing reorder buffer
[Shutdown] Reordered CSV finalized: logs/iot_device_data_reordered.csv
